1.024  , -0.049 , 0.313 ,  -2.887 , 0.021  , -1.458
0.872  , -0.277 , 0.269 ,  -2.723 , 0.047  , -1.389
0.899  , -0.329 , 0.321 ,  -2.577 , 0.066  , -1.226
0.908  , -0.316 , 0.386 ,  -2.792 , 0.207  , -1.240
1.000  , -0.362 , 0.479 ,  -2.979 , 0.232  , -1.584
1.289  , -0.095 , 0.296 ,  -3.043 , 0.247  , -1.345
1.405  , -0.057 , 0.170 ,  2.898  , 0.302  , -1.413
1.302  , -0.478 , 0.173 ,  3.006  , 0.288  , -1.691
1.387  , 0.113  , 0.168 ,  2.971  , 0.063  , -1.194
1.329  , 0.439  , 0.171 ,  2.908  , -0.228 , -0.858
1.339  , 0.444  , 0.368 ,  2.838  , -0.211 , -0.843
1.136  , 0.819  , 0.352 ,  2.819  , -0.206 , -0.533
1.154  , 0.618  , 0.221 ,  2.743  , -0.209 , -0.629
1.185  , 0.613  , 0.250 ,  3.034  , -0.413 , -1.432
0.914  , 0.354  , 0.561 ,  -2.977 , -0.250 , -1.563
0.763  , 0.190  , 0.413 ,  -2.712 , -0.130 , -1.671
0.875  , 0.005  , 0.609 ,  -2.931 , 0.014  , -1.923
0.779  , -0.018 , 0.400 ,  -2.656 , 0.195  , -1.892


